"","P","Model","PEHE","SE"
"5.BCF",5,"BCF",0.905119310574149,0.0227092687547854
"10.BCF",10,"BCF",1.29978734595172,0.0325298086234065
"50.BCF",50,"BCF",1.56617463170163,0.0337614752444948
"100.BCF",100,"BCF",1.65682190488697,0.033751304241595
"150.BCF",150,"BCF",1.73942424918688,0.0299717752801194
"5.SH-BCF",5,"SH-BCF",0.834152452558254,0.0249244101643527
"10.SH-BCF",10,"SH-BCF",1.11550731911733,0.0362669841694386
"50.SH-BCF",50,"SH-BCF",1.23116457307558,0.0443231659844606
"100.SH-BCF",100,"SH-BCF",1.26448741872272,0.0461692005179009
"150.SH-BCF",150,"SH-BCF",1.3175241309793,0.045768394579456
